date,id,kecepatan_angin,curah_hujan,partikulat_halus,tekanan_atmosfer,arah_angin,titik_embun,suhu,kategori
2018-01-01 00:00:00,52705.5,15.137249947499999,4.57125008125,10.6692497715,2.8517499862499998,4.500249982,0.9212500155,4.85424995425,aktual
2018-01-01 01:00:00,52709.5,15.622749805,5.27474987525,11.024749992499999,3.420250058,4.34074997925,0.9444999995,4.64300000675,aktual
2018-01-01 02:00:00,52713.5,15.388750075,4.939999938,10.8737499725,3.091499925,4.340499878,0.9672500045,4.695749998249999,aktual
2018-01-01 03:00:00,52717.5,14.685499905,4.789250016,10.260750056,2.77174997325,4.3025000095,0.9214999975,4.2734999655,aktual
2018-01-01 04:00:00,52721.5,13.6472497,3.93524998425,8.972500086,2.220999956,4.4697500465,0.997750014,4.02699995025,aktual
2018-01-01 05:00:00,52725.5,13.6639997975,3.5164999365000003,9.274499893249999,1.9097500145,4.19599998,0.96750000125,3.886750102,aktual
2018-01-01 06:00:00,52729.5,12.1735000625,2.8130000235,9.1502501965,1.590250015,2.8022500275,0.55600000925,3.6582500935,aktual
2018-01-01 07:00:00,52733.5,13.6807498925,3.097750008,9.949750185000001,1.6700000165,3.57874995475,0.81499999775,3.3062500357499998,aktual
2018-01-01 08:00:00,52737.5,9.46075010275,3.24849998975,5.80999994275,1.78550001975,3.503000021,0.9900000095,3.39425003525,aktual
2018-01-01 09:00:00,52741.5,0.636249982,2.4612500070000003,-2.71824999525,0.773000002,3.33525002,1.11949998125,3.4117500187500003,aktual
2018-01-01 10:00:00,52745.5,-4.40399992475,2.57849997275,-8.096999943250001,0.90599998825,3.42650002225,1.0964999794999999,3.816250026,aktual
2018-01-01 11:00:00,52749.5,-6.966000795,2.2267499865,-9.397999525,0.88849999025,3.33524996025,1.028249994,4.0275000335,aktual
2018-01-01 12:00:00,52753.5,-6.966000795,1.775000006,-9.397999525,0.53299999225,2.749000013,0.952000007,3.8162499665,aktual
2018-01-01 13:00:00,52757.5,-6.966000795,2.89675003275,-9.397999525,1.5902499705,2.7335000039999997,0.99750000225,4.572750091750001,aktual
2018-01-01 14:00:00,52761.5,-5.3585001825,2.15974998475,-7.93749982125,0.79950000325,2.73349994425,1.0357500014999999,4.64275002475,aktual
2018-01-01 15:00:00,52765.5,0.4689999222500001,1.79124999075,-2.55850002725,0.604249999,3.046000004,1.028250009,4.0272500515,aktual
2018-01-01 16:00:00,52769.5,6.513749957,1.89175000775,3.5090000032499997,0.74650000025,3.41125005475,0.9290000052499999,3.9392499922499997,aktual
2018-01-01 17:00:00,52773.5,9.963249921500001,1.79150003175,6.21875,0.55974999825,3.7312500475,0.80700001125,3.728249967,aktual
2018-01-01 18:00:00,52777.5,10.147500039250001,1.9587499795,6.60924994925,0.71974999475,3.57124996175,0.7234999985,3.6579999924999997,aktual
2018-01-01 19:00:00,52781.5,10.097249745,1.65750002875,6.627499938,0.639749989,3.44949996475,0.6245000064999999,3.41200006,aktual
2018-01-01 20:00:00,52785.5,9.4272499085,1.841750026,6.36950004075,0.7462500035,3.11450004575,0.64749999325,3.200750053,aktual
2018-01-01 21:00:00,52789.5,10.2982499605,2.99724996075,7.7465000155,1.88350000975,2.5814999345,0.61699999875,2.93699997675,aktual
2018-01-01 22:00:00,52793.5,10.8510000725,2.87999999525,8.50174999225,1.954249978,2.299499989,0.57874999925,2.726000011,aktual
2018-01-01 23:00:00,52797.5,13.597249985,4.83924990875,9.576750041250001,2.1764999627500003,3.9520000217500004,1.50012493875,2.848999977,aktual
2018-01-02 00:00:00,52801.5,14.2667498625,5.22450006025,9.745249987000001,2.9579999445,4.33274996275,1.5992500187499998,3.18325001,aktual
2018-01-02 01:00:00,52805.5,14.78575015,5.4920001030000005,10.349750043,2.842750013,4.32524991025,1.83549997175,3.4642499685,aktual
2018-01-02 02:00:00,52809.5,14.95350027,5.860499978,10.57174992725,3.171750009,4.27199995525,1.8275000455,3.67549997575,aktual
2018-01-02 03:00:00,52813.5,15.321749925,5.92750012875,10.8115000725,2.9937500354999997,4.264500022,1.8047500255,3.9747499824999997,aktual
2018-01-02 04:00:00,52817.5,14.03249979,4.9897500277499995,9.41649985325,2.283000022,4.50775003425,1.8726248665,3.99200004325,aktual
2018-01-02 05:00:00,52821.5,14.4509997375,4.8394999505000005,9.71875023725,2.22999998925,4.820249915,1.8726248665,4.1857500075,aktual
2018-01-02 06:00:00,52825.5,14.8862500175,4.722249984499999,9.390000105,2.0077500045,5.1478748915,1.8726248665,4.74849998975,aktual
